TIME,X error,Y error,X,Y
16.000115633010864,4,-5,207,242
16.03216052055359,2,-4,209,241
16.064032077789307,-1,-4,212,241
16.095481634140015,-4,-3,215,240
16.127460718154907,-5,-3,216,240
16.15929079055786,-6,-3,217,240
16.19205665588379,-7,-3,218,240
16.239322900772095,-7,-2,218,239
16.272116899490356,-7,-1,218,238
16.30416440963745,-6,-1,217,238
16.336039543151855,-5,0,216,237
16.36764144897461,-3,0,214,237
16.399319171905518,-1,0,212,237
16.432262897491455,1,0,210,237
16.464097023010254,2,-1,209,238
16.49536371231079,3,-2,208,239
16.52782654762268,4,-3,207,240
16.55975341796875,4,-4,207,241
16.591676712036133,2,-5,209,242
16.640240907669067,1,-6,210,243
16.67206883430481,0,-6,211,243
16.70399522781372,0,-7,211,244
16.736265897750854,0,-7,211,244
16.76804780960083,0,-7,211,244
16.799717664718628,2,-7,209,244
16.831347942352295,3,-7,208,244
16.864121198654175,4,-7,207,244
16.895325660705566,4,-6,207,243
16.927743911743164,4,-5,207,242
16.959940910339355,3,-5,208,242
16.991567134857178,2,-5,209,242
17.039763927459717,1,-4,210,241
17.071766138076782,1,-4,210,241
17.103747367858887,0,-4,211,241
17.13626718521118,1,-4,210,241
17.168307781219482,1,-4,210,241
17.19966769218445,3,-4,208,241
17.23185133934021,3,-5,208,242
17.264079570770264,4,-5,207,242
17.295634508132935,3,-6,208,243
17.327691316604614,3,-6,208,243
17.3600594997406,2,-6,209,243
17.391777515411377,1,-6,210,243
17.440205097198486,2,-5,209,242
17.47234535217285,1,-5,210,242
17.503532886505127,2,-5,209,242
17.535388708114624,2,-5,209,242
17.56731367111206,3,-5,208,242
17.59978747367859,3,-6,208,243
17.631853103637695,3,-6,208,243
17.663982629776,3,-6,208,243
17.69596266746521,2,-6,209,243
17.72768211364746,2,-6,209,243
17.76024079322815,2,-5,209,242
17.7916738986969,2,-5,209,242
17.840049028396606,2,-5,209,242
17.872002840042114,2,-5,209,242
17.904273509979248,2,-5,209,242
17.93561291694641,2,-6,209,243
17.967344999313354,2,-6,209,243
17.999666929244995,2,-6,209,243
18.031455039978027,3,-6,208,243
18.06410551071167,2,-6,209,243
18.095353841781616,2,-5,209,242
18.128252744674683,3,-5,208,242
18.16020154953003,2,-5,209,242
18.191375017166138,2,-5,209,242
18.239494800567627,2,-5,209,242
18.27153253555298,2,-5,209,242
18.303308725357056,2,-6,209,243
18.33550190925598,2,-7,209,244
18.3679518699646,3,-7,208,244
18.400062322616577,2,-6,209,243
18.432013034820557,2,-6,209,243
18.463261127471924,2,-5,209,242
18.496205806732178,2,-5,209,242
18.52814483642578,2,-4,209,241
18.559590816497803,2,-5,209,242
18.591527223587036,2,-4,209,241
18.63941764831543,2,-5,209,242
18.671452045440674,3,-6,208,243
18.703445434570312,3,-6,208,243
18.735892057418823,3,-6,208,243
18.768304109573364,2,-7,209,244
18.800211906433105,3,-7,208,244
18.831953525543213,2,-6,209,243
18.863884925842285,1,-6,210,243
18.895397186279297,2,-6,209,243
18.927852869033813,2,-5,209,242
18.96007204055786,2,-5,209,242
18.991265296936035,2,-5,209,242
19.039715051651,3,-5,208,242
19.071627378463745,2,-6,209,243
19.10426640510559,3,-6,208,243
19.136963605880737,2,-7,209,244
19.167617082595825,2,-6,209,243
19.20017123222351,2,-6,209,243
19.231945037841797,2,-6,209,243
19.264158725738525,2,-5,209,242
19.296075105667114,2,-5,209,242
19.327953100204468,3,-5,208,242
19.359320163726807,2,-6,209,243
19.391772747039795,2,-6,209,243
19.440450429916382,2,-6,209,243
19.472247838974,2,-7,209,244
19.50405240058899,2,-7,209,244
19.536434650421143,2,-6,209,243
19.567432165145874,2,-6,209,243
19.59971022605896,1,-6,210,243
19.632315158843994,2,-5,209,242
19.66393280029297,2,-5,209,242
19.695254802703857,2,-6,209,243
19.727264404296875,3,-6,208,243
19.759240865707397,2,-7,209,244
